,A,B,C,D,E,F,G,H,I,J,K,L
0,7,3,26,14,8,21,2,23,6,5,15,16
1,28,23,16,21,35,25,27,8,22,14,12,3
2,3,19,36,29,14,2,20,12,1,9,27,18
3,30,7,32,27,31,20,2,15,17,11,28,1
4,30,11,14,21,32,34,36,26,19,5,25,9
5,20,28,5,23,13,36,1,29,16,7,3,24
6,5,17,7,30,21,4,3,18,28,23,10,20
7,23,2,24,35,25,36,3,22,16,12,19,9
8,21,26,5,13,15,31,8,10,12,29,32,19
9,17,19,22,16,18,1,28,14,7,12,23,2
10,28,31,17,15,26,34,8,35,29,21,22,14
11,18,34,13,25,6,24,22,21,3,9,15,23
12,1,11,7,8,18,23,13,10,25,9,6,4
13,14,20,10,7,32,6,3,4,27,25,30,15
14,4,31,2,15,7,13,10,9,28,34,26,3
15,29,10,9,27,5,32,16,25,21,19,1,11
16,13,14,18,19,26,16,33,21,8,20,11,23
17,9,13,36,12,19,17,11,8,34,31,7,30
18,12,30,6,29,15,35,1,28,11,3,10,25
19,12,11,28,4,20,17,23,19,22,33,25,14
20,10,16,28,25,34,18,26,8,22,33,14,32
21,17,36,27,28,18,20,2,19,1,22,26,14
22,20,9,21,36,3,2,23,8,31,19,5,14
23,13,21,16,25,15,5,1,23,30,31,11,3
24,29,7,1,3,22,10,28,17,26,2,18,9
25,36,4,23,29,34,3,13,19,9,15,2,8
26,23,12,27,6,31,36,21,15,25,32,1,20
27,19,3,36,1,27,14,35,11,15,7,16,30
28,21,15,22,3,31,35,5,36,29,20,10,16
29,13,24,14,4,6,12,17,11,28,21,25,3
30,26,5,31,21,13,17,10,36,35,29,23,4
31,9,25,14,6,16,19,31,21,27,30,7,18
32,24,5,11,22,3,31,12,19,2,10,13,25
33,24,12,3,26,33,17,13,8,2,29,5,14
34,28,17,9,3,27,1,19,32,21,31,4,23
35,22,19,9,30,28,1,16,7,35,23,13,29
36,10,11,1,19,35,31,9,22,21,17,25,33
37,31,24,8,22,20,32,11,4,28,21,29,34
38,31,6,25,17,30,2,19,16,24,3,10,29
39,30,29,25,36,22,12,8,6,31,28,19,24
40,32,7,30,4,33,28,5,27,6,35,8,23
41,30,25,2,20,26,27,18,19,9,1,8,6
42,3,35,6,27,33,12,32,26,5,16,36,25
43,14,18,3,31,28,1,7,32,24,22,16,9
44,19,29,16,14,18,1,9,13,15,30,3,12
45,17,25,12,20,10,35,16,26,34,22,31,8
46,16,8,10,27,18,17,26,6,28,19,29,14
47,18,16,1,23,36,11,34,15,4,20,33,24
48,11,12,21,13,28,6,19,29,9,4,35,27
49,30,22,23,26,35,5,4,11,12,1,13,27
50,32,15,30,23,31,1,36,29,27,12,33,22
51,26,7,19,16,3,5,14,30,6,35,4,13
52,19,27,5,26,10,24,32,3,17,33,18,12
53,30,21,32,31,7,29,6,28,33,23,19,13
54,4,18,23,33,10,36,20,8,34,35,29,6
55,23,21,3,6,30,34,8,28,17,26,15,27
