,A,B,C,D,E,F
0,17,24,18,14,23,22
1,10,17,15,21,13,22
2,10,20,11,1,23,24
3,17,1,8,11,16,14
4,1,12,6,10,22,24
5,19,21,18,14,4,17
6,10,3,22,20,12,1
7,12,2,7,21,5,15
8,1,4,16,2,19,21
9,11,23,2,7,1,16
10,2,5,8,12,15,20
11,2,11,9,22,3,8
12,21,14,1,5,22,2
13,2,6,3,9,4,23
14,9,12,23,11,13,20
15,22,1,8,10,5,7
16,22,13,16,20,12,5
17,15,21,8,24,16,10
18,3,24,11,18,6,1
19,7,1,9,4,18,5
20,5,21,6,9,20,17
21,3,8,2,19,9,13
22,14,12,5,4,24,21
23,19,14,3,21,5,18
24,23,20,19,4,16,15
25,7,6,3,11,15,2
26,2,24,5,3,9,1
27,20,22,15,24,10,14
28,13,4,18,14,23,19
29,9,23,11,18,13,22
30,24,2,10,19,9,21
31,24,11,19,7,4,20
32,4,15,21,3,5,13
33,7,17,2,12,4,20
34,20,15,10,18,5,3
35,8,2,5,22,16,14
36,9,22,6,21,20,2
37,8,17,1,24,19,9
38,14,15,4,1,21,18
39,12,17,2,10,19,18
40,22,24,3,1,14,16
41,16,1,23,24,21,8
42,6,24,15,14,3,2
43,23,5,20,18,10,8
44,5,4,24,23,20,21
45,21,15,4,6,20,18
46,1,14,24,16,12,9
47,16,13,12,6,18,14
48,16,23,9,22,10,8
49,8,11,9,20,10,15
50,10,20,12,24,23,8
51,23,16,17,4,8,19
52,7,10,16,20,24,4
53,12,4,20,22,1,2
54,18,16,14,1,3,13
55,14,22,23,13,11,18
56,24,2,21,13,1,14
57,22,9,17,4,20,7
58,2,11,4,22,8,21
59,14,8,10,20,15,19
60,13,1,18,23,20,14
61,14,3,2,9,7,19
62,1,13,15,10,4,18
63,23,19,3,13,21,14
64,20,4,24,17,8,21
65,24,16,18,6,7,23
66,16,3,23,2,11,21
67,8,20,24,16,23,22
68,1,6,24,17,4,16
69,18,23,4,5,12,16
70,22,21,20,16,9,17
71,1,19,9,17,7,24
72,6,4,20,2,11,17
73,2,8,19,4,7,20
74,6,13,11,3,5,15
75,23,4,18,1,17,19
76,6,13,18,4,20,22
77,10,19,2,11,7,4
78,21,7,18,14,11,3
79,8,4,5,12,23,9
80,3,8,19,21,16,20
81,19,5,4,3,18,11
82,13,6,10,5,14,17
83,5,14,24,6,17,19
84,3,10,8,6,14,20
85,1,16,4,10,14,13
86,14,11,6,12,8,2
87,16,8,19,17,18,11
88,23,22,2,9,10,14
89,17,8,6,3,7,22
90,22,3,24,13,10,18
91,18,22,12,13,21,4
92,8,12,18,15,3,10
93,24,5,4,18,10,15
94,11,15,19,24,5,9
95,11,2,8,15,21,23
96,2,15,8,12,10,6
97,10,13,23,3,9,15
98,20,6,9,22,13,11
99,24,10,1,12,21,15
100,18,23,11,24,16,5
101,1,16,7,11,24,15
102,24,8,19,9,4,16
103,20,24,22,15,8,5
104,9,4,20,19,23,5
105,14,19,22,1,6,3
106,10,8,1,3,15,24
107,16,7,13,9,1,12
108,16,8,18,6,17,13
109,7,3,2,9,12,8
110,24,6,13,1,17,21
111,11,24,4,3,1,13
112,5,15,20,18,1,24
113,21,20,5,9,4,14
114,2,18,22,7,4,23
115,8,15,10,12,22,9
116,17,5,2,4,23,8
117,3,12,23,2,9,22
118,5,16,22,1,4,3
119,24,22,14,5,7,21
120,5,12,16,9,17,14
121,5,4,2,24,11,19
122,3,23,17,2,22,1
123,9,2,22,24,7,6
124,22,19,3,14,21,24
125,5,23,12,17,8,11
126,10,6,21,14,5,12
127,12,13,14,18,4,15
128,9,4,2,20,16,14
129,23,16,21,18,6,13
130,5,4,2,3,20,19
131,20,3,21,16,14,24
132,1,13,11,4,18,6
133,1,20,16,22,6,4
134,14,3,5,21,16,12
135,21,16,1,8,19,12
136,11,2,3,18,19,21
137,10,23,18,2,16,24
138,18,9,14,15,23,17
139,10,13,4,11,5,14
140,18,5,23,4,6,7
141,17,9,10,22,2,18
142,5,18,15,1,4,11
143,22,10,9,8,23,3
144,4,22,14,15,20,12
145,10,1,20,24,13,9
146,15,18,8,3,10,4
147,24,12,11,13,2,6
148,18,21,10,12,1,9
149,10,23,6,5,16,15
150,19,13,1,10,20,17
151,5,20,17,12,8,1
152,4,1,9,21,11,20
153,1,3,6,23,7,18
154,20,7,6,16,14,15
155,17,14,16,22,7,20
156,21,15,10,12,13,3
157,7,3,16,9,24,12
158,7,12,10,24,23,9
159,22,17,13,14,16,21
160,20,16,17,19,24,1
161,24,15,11,13,21,23
162,19,11,1,14,17,20
163,22,10,21,9,16,15
164,23,6,11,4,2,22
165,12,7,1,9,6,2
166,6,15,13,17,9,4
167,2,7,24,21,18,19
168,3,6,20,7,11,21
169,11,7,5,6,24,8
170,5,23,8,1,22,20
171,8,17,3,14,1,20
172,24,22,19,5,15,11
173,22,21,18,19,6,20
174,8,23,10,9,6,17
175,10,18,11,20,6,24
176,22,23,14,18,3,19
177,4,20,13,10,3,22
178,20,17,24,18,12,23
179,10,15,23,22,19,11
180,23,19,9,10,14,21
181,20,18,16,6,8,15
182,17,6,10,19,12,23
183,8,5,4,24,18,2
184,10,4,20,16,14,19
185,5,12,22,20,6,21
186,3,6,14,21,5,11
187,5,4,7,12,19,23
188,19,11,15,7,23,2
189,9,20,19,22,11,14
190,6,13,5,20,1,14
191,5,18,12,11,1,2
192,18,8,19,23,16,6
193,9,19,3,8,16,10
194,17,15,8,10,3,18
195,1,23,24,17,19,14
196,6,14,18,7,19,8
197,6,3,9,24,15,2
198,18,19,6,2,5,15
199,6,14,9,24,2,1
200,11,19,9,20,2,10
201,7,12,6,4,17,11
202,6,11,18,15,2,9
203,6,19,18,24,5,15
204,15,16,24,18,22,19
205,13,17,6,23,2,16
206,23,17,11,7,8,4
207,4,11,16,8,21,14
208,4,24,13,8,2,14
209,16,10,1,11,6,4
210,10,6,22,17,15,12
211,19,6,5,4,17,13
212,14,3,20,19,6,7
213,10,7,21,12,4,18
214,19,4,1,8,10,12
215,9,20,2,13,16,22
216,4,12,15,7,11,5
217,6,4,19,1,21,11
218,17,4,11,22,15,21
219,15,6,4,19,3,22
220,12,10,17,4,7,20
221,13,11,4,23,17,22
222,21,16,13,8,5,9
223,20,14,10,16,5,22
224,20,13,14,10,5,18
225,18,6,23,7,17,16
226,5,7,22,16,17,4
227,2,16,5,11,8,17
228,20,11,2,15,13,24
229,6,5,8,9,2,10
230,11,5,17,7,21,13
231,6,14,12,20,18,1
232,12,9,13,10,7,22
233,1,14,20,16,24,21
234,8,14,2,13,16,9
235,17,10,6,2,11,16
236,18,6,17,12,7,3
237,11,6,23,5,21,13
